sample_name	mean	median	std	max_coverage_value
A-4	3754.1083518107907	3595.0	2297.9047191735513	7684
AA-16	4011.4357191547374	3837.0	2442.878443596484	8192
aa-6	4435.993369579632	4751.0	2755.3264226188335	10324
ae-12	6066.744930831912	5442.5	4660.0964182962025	33840
B-9	5953.190173240678	5417.0	3843.3200721417547	17583
CC-18	3982.195737749423	3934.0	2465.1469830026313	9234
D-23	4281.876964354159	3919.0	2838.9044919840635	11237
E-13	4781.104141883854	4712.0	2824.5356236297134	10070
EE-20	5389.749462475684	5340.0	3349.761081737623	12914
G-19	4262.922039351565	4169.0	2594.8641329415177	10963
I-7	6391.207700650759	6198.5	4195.8751399949815	16043
K-2	5916.000300631325	5288.0	5049.818990115622	47806
O-10	4572.5857305791405	4675.0	2836.4052284304043	10221
oe-11	4277.542031190566	4262.0	2623.083053639694	9926
P-3	4369.9696023883835	4256.0	2736.0154553333346	8857
Q-14	4804.245290081098	4267.0	3393.0863540748705	12687
R-22	4387.990428790199	4349.5	2771.628944461988	10704
S-24	5052.560025010421	4920.5	3009.2782324322	10471
T-21	3619.5807106598986	3540.0	2165.259130505823	7869
U-8	5260.424368252462	5579.0	3295.133546512063	10766
V-15	4201.059494168523	4122.0	2597.0147284404297	10010
X-1	5257.271230114273	5150.5	3229.8852116927774	10732
Y-5	4611.915193940785	4515.0	2794.110767507341	10599
Z-17	3545.1094075617743	3480.0	2122.3549153869085	7878
