sample_name	mean	std	max_coverage_value	peak	max_threshold
A-4	78.98292705279071	61.6821575332637	7684	124	247.3643150665274
AA-16	78.52437421099398	62.232073555160184	8192	122	246.46414711032037
aa-6	78.78120240356233	64.23125218967738	10324	124	252.46250437935475
ae-12	78.82854029905576	81.44225800047015	33840	132	294.88451600094027
B-9	90.09286545917008	80.82775959305243	17583	140	301.65551918610487
CC-18	79.8378745367201	61.495664689775865	9234	124	246.99132937955173
D-23	63.92043889500319	53.596686979807764	11237	98	205.19337395961554
E-13	74.00927447658971	68.98449278988048	10070	21	158.96898557976095
EE-20	77.91431843618612	69.41828392613236	12914	123	261.8365678522647
G-19	88.12815272126639	67.79739855971275	10963	141	276.5947971194255
I-7	84.4812592569575	76.75019684154294	16043	131	284.5003936830859
K-2	74.77797854150477	74.13443722677357	47806	116	264.26887445354714
O-10	83.23342300410035	66.13575064502982	10221	130	262.27150129005963
oe-11	76.02425987265111	62.25050693143249	9926	122	246.50101386286497
P-3	74.98927297362057	62.866400798867225	8857	115	240.73280159773446
Q-14	78.15474025830669	61.22955339884418	12687	125	247.45910679768838
R-22	72.20451047837196	58.1361289850144	10704	113	229.27225797002882
S-24	69.50513003319888	67.1901236240099	10471	93	227.3802472480198
T-21	73.56658072166283	57.06895154596041	7869	118	232.1379030919208
U-8	69.29192911401088	64.46422307549193	10766	107	235.92844615098386
V-15	81.36248472769847	64.0916767813921	10010	128	256.1833535627842
X-1	73.73589988571875	66.09924136727567	10732	117	249.19848273455133
Y-5	86.56953861954854	71.55590980328057	10599	137	280.11181960656114
Z-17	75.74487527404303	59.37331959890153	7878	116	234.74663919780306
